id	HR	HR.95L	HR.95H	pvalue	km
METTL3	1.10040373976722	0.679820754280003	1.78118773642933	0.696999537254734	0.106792693888691
WTAP	1.15706736532406	0.595128356606042	2.24960695123491	0.667147722514041	0.0528515002558205
ZC3H13	0.767409558277659	0.482455472530792	1.22066690848517	0.263593869964958	0.109607569979096
RBM15	1.21175591964354	0.750567426989154	1.95632311767293	0.431916220183574	0.20176615663674
RBM15B	0.76895008331894	0.455611219252594	1.29778241985826	0.325183350142437	0.131428541607326
YTHDC1	0.933351220065184	0.507208060512229	1.71752889557276	0.824573013583615	0.22153554815953
YTHDC2	0.805355613737667	0.432667015343479	1.49906889496505	0.494690715657444	0.0731721001753594
YTHDF1	1.24846211671677	0.808027050532426	1.92896717486114	0.317457075641066	0.0490080455840229
YTHDF2	0.701694633164628	0.385810485466564	1.27621041096539	0.245725956167312	0.0150411704908778
YTHDF3	0.912723863444153	0.57231946833425	1.45559411656059	0.701358040893717	0.0881861679921605
FMR1	1.29089201673115	0.835367337432935	1.9948136875701	0.250196278683316	0.0135521111661113
LRPPRC	1.39934481145432	0.874907661435391	2.23814007769862	0.160839446894721	0.0472905566899002
IGFBP1	1.21032578737729	0.948740134157031	1.54403556764469	0.124432212033718	0.0051701449567938
IGFBP2	1.02110133935388	0.874401889474873	1.19241273124015	0.791869573667422	0.084994101709475
IGFBP3	1.08018063110875	0.920806028976796	1.26714004807184	0.343654403611147	0.0378658449649464
RBMX	1.34883479860668	0.779875651358895	2.33287872337365	0.284381475651231	0.0175166003629529
ALKBH5	0.629587886431031	0.401947359446878	0.986151289278664	0.043292890381945	0.0139153078323354
